Fp2,23.2,(,4.45,),,14.6,(,8.01,),,19.3,(,12.49,),,29.1,(,23.16,),,0.7,0.405,,0.0,0.921,,2.2,0.161
Fp1,19.2,(,7.73,),,13.0,(,11.89,),,19.1,(,15.33,),,19.2,(,18.49,),,0.2,0.636,,0.2,0.634,,0.3,0.616
F8,32.2,(,14.31,),,31.2,(,16.80,),,20.7,(,16.15,),,23.5,(,18.70,),,1.7,0.214,,0.0,0.902,,0.1,0.803
F7,29.0,(,8.59,),,25.4,(,12.53,),,19.2,(,11.91,),,20.0,(,17.77,),,1.7,0.216,,0.1,0.816,,0.1,0.711
F4,25.1,(,7.65,),,19.3,(,11.72,),,22.3,(,14.38,),,24.2,(,18.05,),,0.0,0.870,,0.1,0.747,,0.4,0.530
F3,24.9,(,3.99,),,15.1,(,9.08,),,19.4,(,14.01,),,17.0,(,15.30,),,0.1,0.729,,1.4,0.251,,0.5,0.479
T4,21.5,(,4.41,),,15.3,(,9.27,),,20.4,(,17.16,),,19.8,(,15.84,),,0.1,0.768,,0.4,0.557,,0.2,0.634
T3,27.9,(,6.89,),,24.2,(,11.97,),,23.4,(,13.18,),,25.8,(,19.93,),,0.1,0.815,,0.0,0.918,,0.2,0.628
C4,22.7,(,7.23,),,18.4,(,8.53,),,20.0,(,13.06,),,25.3,(,18.84,),,0.1,0.717,,0.0,0.930,,0.7,0.412
C3,31.6,(,17.16,),,27.9,(,18.37,),,26.3,(,19.11,),,28.7,(,14.69,),,0.1,0.775,,0.0,0.932,,0.2,0.703
T6,30.8,(,8.21,),,29.2,(,16.64,),,20.4,(,13.68,),,21.0,(,16.64,),,2.1,0.162,,0.0,0.937,,0.0,0.865
T5,20.4,(,5.78,),,12.6,(,6.36,),,19.3,(,14.77,),,21.1,(,18.48,),,0.4,0.521,,0.3,0.602,,0.7,0.405
P4,37.1,(,8.12,),,14.4,(,12.69,),,37.8,(,9.61,),,11.4,(,9.01,),,0.1,0.802,,30.2,0.000,,0.2,0.676
P3,38.0,(,9.93,),,15.9,(,9.06,),,39.3,(,13.93,),,16.8,(,11.79,),,0.0,0.832,,19.3,0.000,,0.0,0.966
O2,31.8,(,33.56,),,36.2,(,34.46,),,14.6,(,16.69,),,17.0,(,14.75,),,2.4,0.145,,0.1,0.780,,0.0,0.935
O1,18.2,(,7.18,),,12.1,(,8.28,),,17.0,(,12.45,),,14.8,(,12.23,),,0.0,0.867,,0.8,0.379,,0.2,0.682
FZ,18.6,(,7.45,),,9.5,(,11.73,),,17.6,(,14.82,),,17.0,(,23.03,),,0.2,0.638,,0.5,0.490,,0.4,0.544
CZ,17.2,(,10.46,),,11.2,(,12.61,),,16.9,(,14.28,),,14.3,(,14.88,),,0.1,0.818,,0.5,0.476,,0.1,0.781
PZ,21.2,(,5.76,),,8.6,(,6.53,),,15.6,(,11.62,),,5.5,(,10.58,),,1.2,0.288,,8.0,0.012,,0.1,0.764
LOG,17.1,(,10.47,),,7.3,(,6.02,),,15.7,(,12.25,),,8.1,(,14.23,),,0.0,0.951,,3.0,0.101,,0.0,0.833
ROG,14.0,(,7.89,),,2.7,(,3.46,),,14.2,(,12.30,),,4.1,(,7.93,),,0.0,0.833,,7.9,0.012,,0.0,0.880
EMG,14.2,(,7.59,),,3.4,(,3.72,),,10.5,(,8.39,),,3.9,(,6.93,),,0.3,0.616,,7.9,0.012,,0.5,0.506
